sku,name,supplier,replacement_sku,is_exchange
012217080,קפיץ חזרה מנוף דוושת רגל מאיץ,,,לא
012220030,מצנן נוזל קירור מנוע מכלול,,,לא
012221118,"זרנוק גומי רדיטור אורך 12 ס""מ",,,לא
012221134,מחבר ברך עם אוגן צינור כניסת,,,לא
012223218,גלגילה כפולה אחורי וקדמי גל הנע,,,לא
012242905,זרנוק גומי מכלל אוורר דיפרוציאה,,,לא
012243146,זרנוק גומי מכלל כניסת משאבה ממ,,,לא
012243618,לוח מרכזית צלבי מפרק אוניברסלי,,,לא
012244010,זרנוק גומי מכלל מסנן שמן דיפרנציאלי,,,לא
012244096,הינע סופי אלפא באריזת עץ,,,לא
012246013,מוט פיתולי שמאלי,,,לא
012246021,מוט פיתולי משופר ימין,,,לא
012248105,גל מוצק בקרה היגוי,,,לא
012279361,בית מחבר חשמלי תקע יחידה,,,לא
012416539,"משאבת מים משופרת נגמ""ש ברדלס",,,לא
012443102,משאבת כבש משופרת,,,לא
012466587,"גלגליה למניפה לנגמ""ש A1",,,לא
012468504,מותח זחל משופר,,,לא
012485115,ניפל,,,לא
012485336,צינור מסנן אויר א2,,,לא
012485433,"מצנן מים נגמ""ש A2",,,לא
012485638,ברך כניסה מים רדיאטור,,,לא
012485646,ברך יציאת מים רדיאטור,,,לא
012485689,צינור יציאת מים רדיאטור,,,לא
012485735,צינור כניסת מים לטרמוסטט,,,לא
012485743,ברך צינור יציאת מים לרדיאטור-,,,לא
012485760,גלגליה למניפה,,,לא
012486073,גלגל מתח פנימי,,,לא
012486102,מוט פיתול שמאל,,,לא
012486111,מוט פתול ימין,,,לא
012486120,מוט פתול שמאל,,,לא
012486944,יוק לתיבת הילוכים סי-7,,,לא
012487010,זרנוק גומי לרדיאטור משופר,,,לא
012487029,סט רצועות הנעה למניפה - 3 יח,,,לא
012487070,יוק לדיפרנציאל סי-7,,,לא
012487088,צלב לסי-7,,,לא
012487096,מיסב לגלגלת מתח מניפה,,,לא
012487169,בולם זעזועים,,,לא
012487185,גל הנע לסי-7,,,לא
012487207,זרוע גלגל מתח מכלל,,,לא
012487398,"מחזיר גריז זרוע מזקו""מ",,,לא
012487495,זרוע שמאל קידמי ואחורי חירום,,,לא
012487509,זרוע ימין קדמי ואחורי חירום,,,לא
014947180,ידית בלם יד האמר A2,,,לא
021043877,אום ה.ימנית ת כדורית UNF16,,,לא
021101311,משאבה דלק מכלל,,,לא
021220613,גל הנע מאוורר קירור מנוע,,,לא
026487714,מסנן סולר משני אושקוש,,,לא
028091460,מכסה מילוי שמן מנוע האמר A2,,,לא
028091770,מכסה דלק עם שרשרת,,,לא
028091834,אטם סעפת פליטה מנוע האמר A2,,,לא
028091940,טבעת קוני צינור פליטה המר A2,,,לא
028092229,מאוורר מנוע האמר A1,,,לא
028092245,רצועה לאלטרנטור האמר A1,,,לא
028092318,מתנע 24 וולט המר כל הדגמים,,,לא
028092849,מצת להט האמר ECV+2A,,,לא
028093110,לחצן ידיד הילוחים A1,,,לא
028093128,תפוח ידיד הילוחים האמר A1,,,לא
028093861,רפידת בלם קדמי האמר,,,לא
028094060,זרוע סרק הגה למוט קישור האמר A1,,,לא
028094078,תפוח יציאה מתיבת הגה A1,,,לא
028094116,קצה מוט קישור הגה ימין האמר,,,לא
028094345,בולם זעזועים אחורי האמר A2,,,לא
028095120,רצועת הנעה משוננת,,,לא
028095333,"מייצב רדיוס האמר 0A, 1A",,,לא
028097468,תפס מכסה מנוע,,,לא
028943962,אום ה שמאלי ברג חלול אופן כפול,,,לא
028943970,אום ה ימנית ברג חלול אופן כפול,,,לא
028943997,אום ה שמאל ת כדורית SUN-16,,,לא
031967082,חגורת בטיחות אינרציא האמר+אב,,,לא
032544487,אום לגלגל המר 9/16-18 A2,,,לא
032589049,צינור דלק 1/4 אביר המר,,,לא
032907504,מנעול דלת רכב דלת אחורי,,,לא
034700303,אטם למכסה נדנדים,,,לא
034700931,מתלה צינור פליטה האמר A2,,,לא
034704015,מהדק לצינור פליטה האמר,,,לא
034705801,משאבת מים להאמר A+ ECV-2,,,לא
034706158,ווסת לאלטרנטור A100-200-2,,,לא
034710333,גרמושקה ציריה חדש האמר,,,לא
034712018,מסנן שמן האמר A2,,,לא
034713120,רצועה מנוע למע איורור A2,,,לא
034740062,קליפר בלם אחורי שמאלי האמר,,,לא
034760810,תפס מוט מתוברג האמר,,,לא
034766002,פנס אחורי מכלל האמר,,,לא
034766436,בורג לתפס דלת קדמית המר A2,,,לא
034766630,סגר ימין לדלת המר A2,,,כן
034766649,תפס ימיני לשלדת האמר,,,לא
034767661,בוכנת גז דלת אחורי האמר,,,לא
034767742,בסיס אנטנה המר סיור - A2,,,לא
034780390,בקר מיתוג הצתה,,,כן
034788006,צינור מתכת מיכל דלק האמר A2,,,לא
034788022,צינור מתכת במיכל דלק המר 2A,,,כן
034789061,אטם בורג מיכל דלק האמר,,,לא
034799008,בנד במסנן אוויר האמר A2,,,לא
0349-47180,ידית בלם יד,,,לא
034901350,בורג אגן שמן מנוע אביר האמר,,,לא
034901473,משאבת דלק אטם מנוע המר ECV A2,,,כן
034909180,תושבת אלטרנטור לשימוש עם ברגים אורך,,,לא
034910308,"אגן שמן מנוע האמר A0, A1",,,לא
034910316,"קולר שמן לאמבט שמן מנוע 2,6 די",,,לא
034930260,זרוע מש דלק מנוע דיזל,,,לא
034930309,ציריה קדמית ימנית,,,כן
034930562,קרב מסנן דלק אביר האמר,,,לא
034930791,צירייה אחורית שמאל\ימין האמר A1,,,כן
034967253,קפיץ בידית דלת שמ תא נהג המר,,,לא
034968241,אטם גומי למסגרת חלון האמר,,,לא
034968250,שמשה חלון קדמית,,,לא
034968322,ידית חיצונית לדלת ברזנט המר A2,,,לא
034968330,ידית דלת פנימית ימין ברזנט,,,לא
034968349,ידית דלת פנימית שמאל ברזנט,,,לא
034969833,קפיץ בידית דלת ימ תא נהג המר,,,לא
034979030,שפריצר / ענית למתיז מים האמר,,,לא
034987050,מסנן אוויר מכלל האמר A2,,,לא
034988030,מסנן דלק ראשי גדול+אטם המר 2,,,לא
034988048,אטם מלבני למיכל דלק המר A2,,,לא
034988315,מיכל דלק מכלל המר A0,,,לא
034988587,תמך 12 גוגונים במיכל דלק האמר A2,,,לא
034998019,בורג ידית דלת המר 1.25,,,לא
037130141,בורג סך שמאל גלגל ריו 5ט סינגל,,,לא
037130150,בורג סך ימין גלגל ריו 5ט סינגל,,,לא
037130265,אטם אוגן הנע אופו קדמי סרן קדמי,,,לא
037130559,מגף גומי - פרק היגוי סרו קדמי,,,לא
037180840,פין גזירה גל הני כננת קדמית,,,לא
037347140,מנוף אם פין קשיש בלם,,,לא
037369756,בית מחבר כוח עזר מכלל,,,לא
037378380,אטם נחושת משאבת בלם דור ג',,,לא
037607134,מתג דריכה הפעלה בלם מנוע,,,לא
037640069,ערכת תיקון לתיבת הגה ריאו קמינ,,,לא
037686506,קרב מסנן דלק קמינס,,,לא
037695173,רצועה למניפה מנוע אושקוש,,,לא
037695190,זוג רצועות לאלטרנטור - אושקוש,,,לא
037695815,"אם אופן קידמי, ימין, אושקוש",,,לא
037695823,"אום, משושה, UN1-1/8 שמאל , ת. עגול",,,לא
037695858,אום אופן אחורי ימני - כל האושקוש,,,לא
037695866,"אום, משושה, ת.עגול, שמאל אושקוש",,,לא
037704490,מהדק לזרנוק כניסת אוויר - אושקוש,,,לא
037717240,מפסק הפעלת מנוע אושקוש,,,לא
037723312,עול תיבת העברה אושקוש,,,לא
037738417,עול נושא דיפרנציאל מס' 2 אושקוש,,,לא
037747327,תמך מדרגה תא נהג,,,לא
037747416,מדרגת עליה לתא נהג אושקוש,,,לא
037774596,להב מגב שמשות קדמיות - אושקוש,,,לא
037775150,מראת צד מכלל אושקוש,,,כן
037780065,פנס אחורי אושקוש,,,לא
037787051,קרב מסנן מפריד דלק מים לאושקוש,,,לא
037787108,אטם מפריד מים מע' דלק,,,לא
039012359,אטם נחושת גדול משאבת מים לבית,,,לא
040101705,אום סגירת גץמרכוב,,,לא
041009560,בורג חץ מכסה פתח אורור מיכל **,,,לא
041016221,לולב לאוגן דלק **,,,לא
041018011,רתמת הארקת מפוחים,,,לא
041018038,רתמה הזנה מפוחים,,,לא
041018216,שקע 5 פינים זכר מע חשמל אכז,,,לא
041021365,אטם,,,לא
041021853,קופסת הסתעפות קשר,,,כן
041022710,פנס אחורי ימין ס' 3,,,לא
041023791,פנס חטיבת פנים-צריח,,,לא
041027681,בורג נעילה לפלטות בזוקה,,,לא
041037440,סמך תלייה תחתון הרכבה,,,לא
041037458,אום אבטחה,,041357444,לא
041037482,קפיץ עלה אופיני,,,לא
041050047,גוז'נים הניע סופי,,,לא
041050438,אום ג'ל לבורגס. חיבור תוף,,,לא
041061529,קסוות לתוף הינע,,,לא
041061537,"זר מניע ס' 2, 3 ונמר",,,לא
041061561,אום תוף הינע,,,לא
041061570,בורג לזר מניע ( 041426047 ),,,לא
041063246,בורג הידוק מתלה לתובה,,,לא
041063459,בורג חיבור גלגל תמך למתלה,,,לא
041063491,ערכת אטימה גלגל תמך**,,,לא
041065575,צמיד לקפיץ,,,לא
041066792,קפיץ משיכה מחזיר דוושת בלם,,,לא
